,doc1,doc2,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doc10,doc11,doc12,doc13,doc14,doc15
Abashed,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Abednego,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Abel,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Abjectus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aboard,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Abominable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
About,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2
Above,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Abraham,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Academy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Accessory,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
According,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0
Accordingly,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Accursed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Achilles,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Actium,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Acushnet,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Adam,0,0,1,0,0,0,0,2,0,0,0,0,2,1,0
Additional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adieu,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Adios,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Admiral,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Admirals,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Advance,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Advancement,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Adventures,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Adverse,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Advocate,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Affected,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Affidavit,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Affrighted,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Afric,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Africa,0,0,1,0,0,1,1,2,0,0,0,1,1,0,0
African,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Africans,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Aft,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
After,0,1,0,2,2,1,1,0,2,3,0,1,3,1,0
Afterwards,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Again,1,0,0,0,0,0,0,0,3,3,1,1,0,0,0
Against,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Agassiz,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ages,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ah,1,0,2,0,1,1,2,5,0,1,0,0,2,2,1
Ahab,0,0,0,0,23,18,60,37,46,9,17,9,51,139,78
Ahab.,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Ahab_,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ahabs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ahab—,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Ahab—his,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ahab—in,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ahab—invested,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ahab—so,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ahab—there,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ahab—though,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ahasuerus,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Ahaz-dial,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ahoy,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Ain,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Air,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Akin,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Alabama,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0
Aladdin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Alarmed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Alas,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Albatross,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
Albemarle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Albert,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Albicore,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Albino,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Aldrovandi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aldrovandus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Alexander,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Alexanders,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alfred,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Algerine,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Algiers,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Alike,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Alive,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
All,1,2,1,5,3,1,5,2,6,12,1,3,7,6,0
Alleghanian,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alleghanies,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Alley,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Almanack,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Almighty,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Almost,0,0,0,0,0,0,1,1,0,2,2,2,0,0,1
Aloft,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2
Aloft.—Thunder,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Alone,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Alps,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Already,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
Also,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Am,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Ambergriese,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ambergris,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Amelia,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
America,0,0,1,1,0,2,0,1,2,0,0,2,1,0,0
America.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
American,2,1,0,0,0,6,7,4,2,5,1,2,2,0,1
Americans,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0
Americas,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Amittai,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Among,0,0,0,0,0,0,3,0,1,0,1,0,2,0,0
Amsterdam,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
An,0,0,0,0,0,1,1,0,1,2,2,2,1,2,2
Anacharsis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Anak,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Anatomist,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
And,9,6,9,18,19,21,33,20,21,28,25,29,48,50,20
Andes,0,0,1,0,0,0,0,1,0,0,0,0,3,2,0
Andrew,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Andromeda,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
Andromeda—indeed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Angel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Angels,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Animated,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Annawon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Anne,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Anomalous,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Another,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0
Answer,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Antarctic,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0
Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Antiochus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
