movie_title,release_year,genres,imdb_score,budget,gross,director_name,director_facebook_likes,num_critic_for_reviews,actor_3_name,actor_3_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_1_name,actor_1_facebook_likes,movie_facebook_likes,cast_total_facebook_likes,num_voted_users,world_population
Spider-Man 3,2007,Action|Adventure|Romance,6.2,258000000.0,336530303.0,Sam Raimi,0.0,392.0,Kirsten Dunst,4000.0,James Franco,11000.0,J.K. Simmons,24000.0,0,46055,383056,6717583637.0
Tangled,2010,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,7.8,260000000.0,200807262.0,Nathan Greno,15.0,324.0,M.C. Gainey,284.0,Donna Murphy,553.0,Brad Garrett,799.0,29000,2036,294810,6969894715.0
King Kong,2005,Action|Adventure|Drama|Romance,7.2,207000000.0,218051260.0,Peter Jackson,0.0,446.0,Evan Parke,84.0,Thomas Kretschmann,919.0,Naomi Watts,6000.0,0,7123,316018,6552787172.0
Titanic,1997,Drama|Romance,7.7,200000000.0,658672302.0,James Cameron,0.0,315.0,Gloria Stuart,794.0,Kate Winslet,14000.0,Leonardo DiCaprio,29000.0,26000,45223,793059,5896174827.0
Spider-Man 2,2004,Action|Adventure|Fantasy|Romance,7.3,200000000.0,373377893.0,Sam Raimi,0.0,300.0,Kirsten Dunst,4000.0,James Franco,11000.0,J.K. Simmons,24000.0,0,43388,411164,6471033757.0
World War Z,2013,Action|Adventure|Horror|Sci-Fi|Thriller,7.0,190000000.0,202351611.0,Marc Forster,395.0,654.0,Mireille Enos,1000.0,Brad Pitt,11000.0,Peter Capaldi,17000.0,129000,32392,465019,7229458453.0
The Great Gatsby,2013,Drama|Romance,7.3,105000000.0,144812796.0,Baz Luhrmann,1000.0,490.0,Steve Bisley,77.0,Elizabeth Debicki,509.0,Leonardo DiCaprio,29000.0,115000,29770,362912,7229458453.0
Prince of Persia: The Sands of Time,2010,Action|Adventure|Fantasy|Romance,6.6,200000000.0,90755643.0,Mike Newell,179.0,306.0,Reece Ritchie,236.0,Richard Coyle,567.0,Jake Gyllenhaal,15000.0,23000,16149,222403,6969894715.0
The Legend of Tarzan,2016,Action|Adventure|Drama|Romance,6.6,180000000.0,124051759.0,David Yates,282.0,248.0,Casper Crump,103.0,Alexander Skarsgård,10000.0,Christoph Waltz,11000.0,29000,21175,42372,7490956237.0
The Mummy: Tomb of the Dragon Emperor,2008,Action|Adventure|Fantasy|Horror|Thriller,5.2,145000000.0,102176165.0,Rob Cohen,357.0,264.0,Russell Wong,595.0,Brendan Fraser,3000.0,Jet Li,5000.0,0,9131,117927,6801421733.0
Maleficent,2014,Action|Adventure|Family|Fantasy|Romance,7.0,180000000.0,241407328.0,Robert Stromberg,171.0,401.0,Sam Riley,846.0,Sharlto Copley,2000.0,Angelina Jolie Pitt,11000.0,89000,15516,252257,7317304568.0
The Lovers,2015,Action|Adventure|Romance|Sci-Fi,4.5,39752620.436387606,48468407.52680933,Roland Joffé,596.0,10.0,Bipasha Basu,283.0,Alice Englert,525.0,Tamsin Egerton,622.0,677,1982,2138,7404251118.0
Godzilla Resurgence,2016,Action|Adventure|Drama|Horror|Sci-Fi,8.2,39752620.436387606,48468407.52680933,Hideaki Anno,28.0,1.0,Atsuko Maeda,12.0,Shin'ya Tsukamoto,106.0,Mark Chinnery,544.0,0,699,374,7490956237.0
The Curious Case of Benjamin Button,2008,Drama|Fantasy|Romance,7.8,150000000.0,127490802.0,David Fincher,21000.0,362.0,Julia Ormond,919.0,Jason Flemyng,1000.0,Brad Pitt,11000.0,23000,13333,459346,6801421733.0
Pearl Harbor,2001,Action|Drama|History|Romance|War,6.1,140000000.0,198539855.0,Michael Bay,0.0,191.0,Mako,691.0,Jaime King,961.0,Jennifer Garner,3000.0,0,5401,254111,6226487141.0
Alexander,2004,Action|Adventure|Biography|Drama|History|Romance|War,5.5,155000000.0,34293771.0,Oliver Stone,0.0,248.0,Brian Blessed,591.0,Angelina Jolie Pitt,11000.0,Anthony Hopkins,12000.0,0,24598,138863,6471033757.0
I Am Legend,2007,Drama|Horror|Sci-Fi,7.2,150000000.0,256386216.0,Francis Lawrence,508.0,323.0,Willow Smith,558.0,Alice Braga,1000.0,Will Smith,10000.0,11000,13076,530870,6717583637.0
Dark Shadows,2012,Comedy|Fantasy|Horror,6.2,100000000.0,79711678.0,Tim Burton,13000.0,526.0,Christopher Lee,16000.0,Chloë Grace Moretz,17000.0,Johnny Depp,40000.0,82000,80849,199039,7141430933.0
The Wolfman,2010,Drama|Fantasy|Horror|Thriller,5.8,150000000.0,61937495.0,Joe Johnston,394.0,357.0,Art Malik,162.0,Simon Merrells,490.0,Anthony Hopkins,12000.0,0,13071,89442,6969894715.0
Spider-Man,2002,Action|Adventure|Fantasy|Romance,7.3,139000000.0,403706375.0,Sam Raimi,0.0,291.0,Kirsten Dunst,4000.0,James Franco,11000.0,J.K. Simmons,24000.0,5000,40484,544665,6308284566.0
Final Fantasy: The Spirits Within,2001,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,6.4,137000000.0,32131830.0,Hironobu Sakaguchi,6.0,166.0,Jean Simmons,422.0,Ming-Na Wen,2000.0,Steve Buscemi,12000.0,0,15015,72259,6226487141.0
The Twilight Saga: Breaking Dawn - Part 2,2012,Adventure|Drama|Fantasy|Romance,5.5,120000000.0,292298923.0,Bill Condon,386.0,322.0,Taylor Lautner,12000.0,Kristen Stewart,17000.0,Robert Pattinson,21000.0,65000,59177,185394,7141430933.0
Australia,2008,Adventure|Drama|Romance|War,6.6,130000000.0,49551662.0,Baz Luhrmann,1000.0,245.0,Eddie Baroo,165.0,Bryan Brown,284.0,Essie Davis,309.0,0,921,102338,6801421733.0
How Do You Know,2010,Comedy|Drama|Romance,5.3,120000000.0,30212620.0,James L. Brooks,274.0,168.0,Teyonah Parris,157.0,Domenick Lombardozzi,216.0,Shelley Conn,273.0,0,993,35066,6969894715.0
Knight and Day,2010,Action|Comedy|Romance,6.3,117000000.0,76418654.0,James Mangold,446.0,283.0,Jordi Mollà,877.0,Marc Blucas,973.0,Tom Cruise,10000.0,11000,12731,148280,6969894715.0
Mr. & Mrs. Smith,2005,Action|Comedy|Crime|Romance|Thriller,6.5,120000000.0,186336103.0,Doug Liman,218.0,233.0,Stephanie March,322.0,Angelina Jolie Pitt,11000.0,Brad Pitt,11000.0,0,22722,348861,6552787172.0
Speed 2: Cruise Control,1997,Action|Crime|Romance|Thriller,3.7,160000000.0,48068396.0,Jan de Bont,101.0,79.0,Lois Chiles,202.0,Temuera Morrison,368.0,Jason Patric,673.0,894,2027,60573,5896174827.0
The Princess and the Frog,2009,Animation|Family|Fantasy|Musical|Romance,7.1,105000000.0,104374107.0,Ron Clements,63.0,228.0,Anika Noni Rose,525.0,Jenifer Lewis,578.0,Oprah Winfrey,852.0,5000,2480,89351,6885608628.0
The Island,2005,Action|Adventure|Romance|Sci-Fi|Thriller,6.9,126000000.0,35799026.0,Michael Bay,0.0,257.0,Djimon Hounsou,3000.0,Steve Buscemi,12000.0,Scarlett Johansson,19000.0,0,34839,263329,6552787172.0
Town & Country,2001,Comedy|Romance,4.4,90000000.0,6712451.0,Peter Chelsom,23.0,62.0,Garry Shandling,591.0,Warren Beatty,631.0,Del Zamora,752.0,53,3133,4102,6226487141.0
Gladiator,2000,Action|Drama|Romance,8.5,103000000.0,187670866.0,Ridley Scott,0.0,265.0,Oliver Reed,695.0,Connie Nielsen,933.0,Djimon Hounsou,3000.0,21000,6521,982637,6144444748.0
Public Enemies,2009,Biography|Crime|Drama|History|Romance,7.0,100000000.0,97030725.0,Michael Mann,0.0,357.0,Stephen Graham,1000.0,Christian Bale,23000.0,Johnny Depp,40000.0,0,64599,230931,6885608628.0
Little Fockers,2010,Comedy|Romance,5.5,100000000.0,148383780.0,Paul Weitz,80.0,180.0,Teri Polo,708.0,Blythe Danner,713.0,Robert De Niro,22000.0,0,24082,85531,6969894715.0
The Hunchback of Notre Dame,1996,Animation|Drama|Family|Musical|Romance,6.9,100000000.0,100117603.0,Gary Trousdale,21.0,80.0,Bill Fagerbakke,542.0,Jason Alexander,700.0,Demi Moore,2000.0,0,4842,102933,5811694918.0
The Tourist,2010,Action|Romance|Thriller,6.0,100000000.0,67631157.0,Florian Henckel von Donnersmarck,207.0,321.0,Rufus Sewell,3000.0,Angelina Jolie Pitt,11000.0,Johnny Depp,40000.0,25000,55175,176598,6969894715.0
End of Days,1999,Action|Fantasy|Horror|Mystery,5.7,83000000.0,66862068.0,Peter Hyams,0.0,174.0,Udo Kier,595.0,Mark Margolis,1000.0,CCH Pounder,1000.0,2000,3903,89509,6062415429.0
Catwoman,2004,Action|Crime|Fantasy|Romance|Thriller,3.3,100000000.0,40198710.0,Pitof,26.0,212.0,Alex Borstein,566.0,Christopher Heyerdahl,825.0,Frances Conroy,827.0,0,3144,87451,6471033757.0
The Flowers of War,2011,Drama|History|Romance|War,7.6,94000000.0,9213.0,Yimou Zhang,611.0,136.0,Shigeo Kobayashi,28.0,Ni Ni,196.0,Christian Bale,23000.0,13000,23240,38690,7053988749.0
Sex and the City 2,2010,Comedy|Drama|Romance,4.3,100000000.0,95328937.0,Michael Patrick King,127.0,221.0,Kristin Davis,722.0,Liza Minnelli,740.0,Chris Noth,962.0,0,4555,59581,6969894715.0
The Road to El Dorado,2000,Adventure|Animation|Comedy|Family|Romance,6.9,95000000.0,50802661.0,Bibo Bergeron,10.0,82.0,Elton John,442.0,Rosie Perez,919.0,Frank Welker,2000.0,0,3372,58300,6144444748.0
Cinderella,2015,Drama|Family|Fantasy|Romance,7.0,95000000.0,201148159.0,Kenneth Branagh,0.0,343.0,Lily James,502.0,Derek Jacobi,520.0,Hayley Atwell,2000.0,56000,4671,103737,7404251118.0
Transcendence,2014,Drama|Mystery|Romance|Sci-Fi|Thriller,6.3,100000000.0,23014504.0,Wally Pfister,0.0,355.0,Clifton Collins Jr.,968.0,Morgan Freeman,11000.0,Johnny Depp,40000.0,37000,54031,172707,7317304568.0
What Lies Beneath,2000,Drama|Fantasy|Horror|Mystery|Thriller,6.6,100000000.0,155370362.0,Robert Zemeckis,0.0,185.0,Miranda Otto,568.0,Amber Valletta,627.0,Harrison Ford,11000.0,0,12890,98403,6144444748.0
The Secret Life of Walter Mitty,2013,Adventure|Comedy|Drama|Fantasy|Romance,7.3,90000000.0,58229120.0,Ben Stiller,0.0,362.0,Joey Slotnick,423.0,Adrian Martinez,806.0,Adam Scott,3000.0,70000,5095,236421,7229458453.0
The Haunted Mansion,2003,Comedy|Family|Fantasy|Horror|Mystery,4.9,90000000.0,75817994.0,Rob Minkoff,50.0,122.0,Marc John Jefferies,441.0,Rachael Harris,569.0,Marsha Thomason,691.0,988,2622,32049,6389592840.0
Hollow Man,2000,Action|Horror|Sci-Fi|Thriller,5.7,95000000.0,73209340.0,Paul Verhoeven,719.0,180.0,Joey Slotnick,423.0,Kim Dickens,624.0,Greg Grunberg,833.0,0,2356,101834,6144444748.0
The Saint,1997,Action|Adventure|Romance|Sci-Fi|Thriller,6.2,68000000.0,61355436.0,Phillip Noyce,176.0,64.0,Velibor Topic,84.0,Michael Byrne,117.0,Alun Armstrong,192.0,0,475,52136,5896174827.0
Cast Away,2000,Adventure|Drama|Romance,7.7,90000000.0,233630478.0,Robert Zemeckis,0.0,221.0,Nick Searcy,272.0,Paul Sanchez,410.0,Tom Hanks,15000.0,23000,15838,394317,6144444748.0
Happy Feet,2006,Animation|Comedy|Family|Music|Romance,6.5,100000000.0,197992827.0,George Miller,750.0,206.0,Elizabeth Daily,971.0,Hugh Jackman,20000.0,Robin Williams,49000.0,0,70996,132501,6635162568.0
The Three Musketeers,2011,Action|Adventure|Romance,5.8,75000000.0,20315324.0,Paul W.S. Anderson,545.0,228.0,Orlando Bloom,5000.0,Logan Lerman,8000.0,Milla Jovovich,14000.0,19000,27694,88542,7053988749.0
Enchanted,2007,Animation|Comedy|Family|Fantasy|Musical|Romance,7.1,85000000.0,127706877.0,Kevin Lima,36.0,222.0,Fred Tatasciore,118.0,Teala Dunn,142.0,Jeff Bennett,283.0,0,662,142496,6717583637.0
Hannibal            ,2002,Crime|Drama|Horror|Mystery|Thriller,8.6,39752620.436387606,48468407.52680933,Steven Spielberg,686.5092123911724,103.0,Hettienne Park,148.0,Scott Thompson,183.0,Caroline Dhavernas,544.0,59000,996,159910,6308284566.0
The Holiday,2006,Comedy|Romance,6.9,85000000.0,63224849.0,Nancy Meyers,278.0,157.0,Sarah Parish,213.0,Rufus Sewell,3000.0,Kate Winslet,14000.0,19000,17423,182757,6635162568.0
It's Complicated,2009,Comedy|Drama|Romance,6.6,85000000.0,112703470.0,Nancy Meyers,278.0,187.0,Zoe Kazan,963.0,Hunter Parrish,2000.0,Meryl Streep,11000.0,0,15226,69860,6885608628.0
Memoirs of a Geisha,2005,Drama|Romance,7.3,85000000.0,57010853.0,Rob Marshall,252.0,229.0,Karl Yune,210.0,Mako,691.0,Li Gong,879.0,0,2380,119286,6552787172.0
